source,target,dependency_type,latency,criticality,scenario_id,topology_id
gw_01,auth_01,HTTP,12.0,high,scen_000000,top_0000
gw_01,web_01,HTTP,15.0,high,scen_000000,top_0000
lb_01,gw_01,HTTP,5.0,critical,scen_000000,top_0000
auth_01,db_01,DATABASE,8.0,critical,scen_000000,top_0000
web_01,db_01,DATABASE,10.0,critical,scen_000000,top_0000
web_01,sub_svc_2,HTTP,10.0,low,scen_000000,top_0000
web_01,sub_svc_3,HTTP,10.0,low,scen_000000,top_0000
web_01,sub_svc_4,HTTP,10.0,low,scen_000000,top_0000
sub_svc_2,db_01,DATABASE,12.0,medium,scen_000000,top_0000
sub_svc_3,db_01,DATABASE,12.0,medium,scen_000000,top_0000
sub_svc_4,db_01,DATABASE,12.0,medium,scen_000000,top_0000
gw_01,auth_01,HTTP,12.0,high,scen_000001,top_0001
gw_01,web_01,HTTP,15.0,high,scen_000001,top_0001
lb_01,gw_01,HTTP,5.0,critical,scen_000001,top_0001
auth_01,db_01,DATABASE,8.0,critical,scen_000001,top_0001
web_01,db_01,DATABASE,10.0,critical,scen_000001,top_0001
web_01,sub_svc_2,HTTP,10.0,low,scen_000001,top_0001
web_01,sub_svc_3,HTTP,10.0,low,scen_000001,top_0001
web_01,sub_svc_4,HTTP,10.0,low,scen_000001,top_0001
web_01,sub_svc_5,HTTP,10.0,low,scen_000001,top_0001
web_01,sub_svc_6,HTTP,10.0,low,scen_000001,top_0001
web_01,sub_svc_7,HTTP,10.0,low,scen_000001,top_0001
web_01,sub_svc_8,HTTP,10.0,low,scen_000001,top_0001
web_01,sub_svc_9,HTTP,10.0,low,scen_000001,top_0001
web_01,sub_svc_10,HTTP,10.0,low,scen_000001,top_0001
web_01,sub_svc_11,HTTP,10.0,low,scen_000001,top_0001
web_01,sub_svc_12,HTTP,10.0,low,scen_000001,top_0001
web_01,sub_svc_13,HTTP,10.0,low,scen_000001,top_0001
web_01,sub_svc_14,HTTP,10.0,low,scen_000001,top_0001
web_01,sub_svc_15,HTTP,10.0,low,scen_000001,top_0001
web_01,sub_svc_16,HTTP,10.0,low,scen_000001,top_0001
web_01,sub_svc_17,HTTP,10.0,low,scen_000001,top_0001
web_01,sub_svc_18,HTTP,10.0,low,scen_000001,top_0001
web_01,sub_svc_19,HTTP,10.0,low,scen_000001,top_0001
web_01,sub_svc_20,HTTP,10.0,low,scen_000001,top_0001
web_01,sub_svc_21,HTTP,10.0,low,scen_000001,top_0001
web_01,sub_svc_22,HTTP,10.0,low,scen_000001,top_0001
web_01,sub_svc_23,HTTP,10.0,low,scen_000001,top_0001
web_01,sub_svc_24,HTTP,10.0,low,scen_000001,top_0001
web_01,sub_svc_25,HTTP,10.0,low,scen_000001,top_0001
web_01,sub_svc_26,HTTP,10.0,low,scen_000001,top_0001
web_01,sub_svc_27,HTTP,10.0,low,scen_000001,top_0001
web_01,sub_svc_28,HTTP,10.0,low,scen_000001,top_0001
web_01,sub_svc_29,HTTP,10.0,low,scen_000001,top_0001
web_01,sub_svc_30,HTTP,10.0,low,scen_000001,top_0001
web_01,sub_svc_31,HTTP,10.0,low,scen_000001,top_0001
sub_svc_2,db_01,DATABASE,12.0,medium,scen_000001,top_0001
sub_svc_3,db_01,DATABASE,12.0,medium,scen_000001,top_0001
sub_svc_4,db_01,DATABASE,12.0,medium,scen_000001,top_0001
sub_svc_5,db_01,DATABASE,12.0,medium,scen_000001,top_0001
sub_svc_6,db_01,DATABASE,12.0,medium,scen_000001,top_0001
sub_svc_7,db_01,DATABASE,12.0,medium,scen_000001,top_0001
sub_svc_8,db_01,DATABASE,12.0,medium,scen_000001,top_0001
