node_id,node_type,service_name,environment,region,zone,host_id,container_id,version,cpu_capacity,memory_capacity,replica_count,criticality,scenario_id,topology_id
gw_01,api_gateway,api_gateway,production,eu-central-1,eu-central-1a,host-328,ct-3286,v3.1.0,2.0,64.0,4,critical,scen_000000,top_0000
lb_01,load_balancer,load_balancer,production,eu-central-1,eu-central-1a,host-130,ct-2535,v1.3.0,2.0,64.0,2,critical,scen_000000,top_0000
auth_01,auth_service,auth_service,production,eu-central-1,eu-central-1c,host-765,ct-9928,v2.3.0,16.0,64.0,3,high,scen_000000,top_0000
web_01,web_service,web_service,production,eu-central-1,eu-central-1a,host-877,ct-3615,v3.6.0,8.0,16.0,2,high,scen_000000,top_0000
db_01,postgresql,postgresql,production,eu-central-1,eu-central-1a,host-881,ct-6514,v1.1.0,16.0,4.0,3,critical,scen_000000,top_0000
sub_svc_2,web_service,sub_service_2,production,eu-central-1,eu-central-1b,host-718,ct-5333,v1.7.0,2.0,32.0,1,low,scen_000000,top_0000
sub_svc_3,web_service,sub_service_3,production,eu-central-1,eu-central-1c,host-400,ct-6925,v3.3.0,2.0,4.0,2,low,scen_000000,top_0000
sub_svc_4,web_service,sub_service_4,production,eu-central-1,eu-central-1b,host-181,ct-4814,v1.6.0,8.0,32.0,3,low,scen_000000,top_0000
gw_01,api_gateway,api_gateway,production,ap-southeast-1,ap-southeast-1b,host-699,ct-3606,v1.6.0,16.0,32.0,4,critical,scen_000001,top_0001
lb_01,load_balancer,load_balancer,production,ap-southeast-1,ap-southeast-1b,host-702,ct-8060,v1.1.0,4.0,8.0,4,critical,scen_000001,top_0001
auth_01,auth_service,auth_service,production,ap-southeast-1,ap-southeast-1c,host-483,ct-7936,v2.5.0,2.0,8.0,1,high,scen_000001,top_0001
web_01,web_service,web_service,production,ap-southeast-1,ap-southeast-1c,host-777,ct-6887,v2.1.0,16.0,16.0,4,high,scen_000001,top_0001
db_01,postgresql,postgresql,production,ap-southeast-1,ap-southeast-1c,host-210,ct-1391,v2.9.0,4.0,16.0,2,critical,scen_000001,top_0001
sub_svc_2,web_service,sub_service_2,production,ap-southeast-1,ap-southeast-1c,host-483,ct-1518,v1.4.0,2.0,4.0,4,low,scen_000001,top_0001
sub_svc_3,web_service,sub_service_3,production,ap-southeast-1,ap-southeast-1a,host-188,ct-2192,v3.8.0,4.0,4.0,5,low,scen_000001,top_0001
sub_svc_4,web_service,sub_service_4,production,ap-southeast-1,ap-southeast-1a,host-490,ct-7951,v3.1.0,16.0,8.0,5,low,scen_000001,top_0001
sub_svc_5,web_service,sub_service_5,production,ap-southeast-1,ap-southeast-1c,host-250,ct-4305,v2.9.0,2.0,64.0,2,low,scen_000001,top_0001
sub_svc_6,web_service,sub_service_6,production,ap-southeast-1,ap-southeast-1b,host-209,ct-7014,v2.7.0,2.0,64.0,4,low,scen_000001,top_0001
sub_svc_7,web_service,sub_service_7,production,ap-southeast-1,ap-southeast-1b,host-508,ct-1110,v2.7.0,2.0,64.0,5,low,scen_000001,top_0001
sub_svc_8,web_service,sub_service_8,production,ap-southeast-1,ap-southeast-1b,host-461,ct-8383,v2.0.0,16.0,4.0,4,low,scen_000001,top_0001
sub_svc_9,web_service,sub_service_9,production,ap-southeast-1,ap-southeast-1c,host-343,ct-1631,v3.1.0,2.0,8.0,3,low,scen_000001,top_0001
sub_svc_10,web_service,sub_service_10,production,ap-southeast-1,ap-southeast-1b,host-138,ct-2739,v1.9.0,16.0,32.0,2,low,scen_000001,top_0001
sub_svc_11,web_service,sub_service_11,production,ap-southeast-1,ap-southeast-1a,host-825,ct-6247,v1.0.0,2.0,64.0,3,low,scen_000001,top_0001
sub_svc_12,web_service,sub_service_12,production,ap-southeast-1,ap-southeast-1c,host-252,ct-9159,v2.1.0,16.0,16.0,3,low,scen_000001,top_0001
sub_svc_13,web_service,sub_service_13,production,ap-southeast-1,ap-southeast-1c,host-787,ct-6248,v3.8.0,8.0,4.0,3,low,scen_000001,top_0001
sub_svc_14,web_service,sub_service_14,production,ap-southeast-1,ap-southeast-1b,host-131,ct-5482,v1.2.0,8.0,4.0,1,low,scen_000001,top_0001
sub_svc_15,web_service,sub_service_15,production,ap-southeast-1,ap-southeast-1c,host-598,ct-5488,v2.2.0,2.0,32.0,1,low,scen_000001,top_0001
sub_svc_16,web_service,sub_service_16,production,ap-southeast-1,ap-southeast-1a,host-493,ct-8921,v2.5.0,4.0,4.0,1,low,scen_000001,top_0001
sub_svc_17,web_service,sub_service_17,production,ap-southeast-1,ap-southeast-1c,host-723,ct-8368,v2.2.0,4.0,4.0,1,low,scen_000001,top_0001
sub_svc_18,web_service,sub_service_18,production,ap-southeast-1,ap-southeast-1b,host-852,ct-7505,v2.7.0,16.0,8.0,2,low,scen_000001,top_0001
