scenario_id,incident_id,start_time,detection_time,end_time,severity,blast_radius,propagation_depth
scen_000000,inc_scen_000000_01,2026-09-01T00:05:00Z,2026-09-01T00:05:35Z,2026-09-01T00:18:00Z,medium,8,3
scen_000000,inc_scen_000000_02,2026-09-01T00:09:56Z,2026-09-01T00:11:39Z,2026-09-01T00:29:56Z,high,2,1
scen_000001,inc_scen_000001_01,2026-09-01T00:05:00Z,2026-09-01T00:05:17Z,2026-09-01T00:24:00Z,high,2,1
scen_000002,inc_scen_000002_01,2026-09-01T00:05:00Z,2026-09-01T00:06:36Z,2026-09-01T00:23:00Z,high,11,5
scen_000003,inc_scen_000003_01,2026-09-01T00:05:00Z,2026-09-01T00:06:29Z,2026-09-01T00:17:00Z,low,27,5
scen_000004,inc_scen_000004_01,2026-09-01T00:05:00Z,2026-09-01T00:05:19Z,2026-09-01T00:24:00Z,high,1,0
scen_000006,inc_scen_000006_01,2026-09-01T00:05:00Z,2026-09-01T00:05:19Z,2026-09-01T00:17:00Z,medium,14,5
scen_000006,inc_scen_000006_02,2026-09-01T00:08:00Z,2026-09-01T00:08:49Z,2026-09-01T00:20:00Z,critical,2,1
scen_000008,inc_scen_000008_01,2026-09-01T00:05:00Z,2026-09-01T00:06:14Z,2026-09-01T00:25:00Z,low,2,1
scen_000008,inc_scen_000008_02,2026-09-01T00:06:57Z,2026-09-01T00:07:39Z,2026-09-01T00:16:57Z,low,2,1
scen_000009,inc_scen_000009_01,2026-09-01T00:05:00Z,2026-09-01T00:06:12Z,2026-09-01T00:25:00Z,medium,1,0
scen_000010,inc_scen_000010_01,2026-09-01T00:05:00Z,2026-09-01T00:07:00Z,2026-09-01T00:15:00Z,low,2,1
scen_000011,inc_scen_000011_01,2026-09-01T00:05:00Z,2026-09-01T00:06:05Z,2026-09-01T00:15:00Z,medium,2,1
scen_000012,inc_scen_000012_01,2026-09-01T00:05:00Z,2026-09-01T00:06:51Z,2026-09-01T00:23:00Z,low,2,1
scen_000013,inc_scen_000013_01,2026-09-01T00:05:00Z,2026-09-01T00:06:32Z,2026-09-01T00:24:00Z,medium,2,1
scen_000014,inc_scen_000014_01,2026-09-01T00:05:00Z,2026-09-01T00:05:53Z,2026-09-01T00:16:00Z,critical,2,1
scen_000014,inc_scen_000014_02,2026-09-01T00:08:07Z,2026-09-01T00:09:17Z,2026-09-01T00:23:07Z,low,2,1
scen_000015,inc_scen_000015_01,2026-09-01T00:05:00Z,2026-09-01T00:05:36Z,2026-09-01T00:25:00Z,critical,2,1
scen_000016,inc_scen_000016_01,2026-09-01T00:05:00Z,2026-09-01T00:06:06Z,2026-09-01T00:16:00Z,low,2,1
scen_000017,inc_scen_000017_01,2026-09-01T00:05:00Z,2026-09-01T00:05:59Z,2026-09-01T00:24:00Z,medium,2,1
scen_000019,inc_scen_000019_01,2026-09-01T00:05:00Z,2026-09-01T00:06:45Z,2026-09-01T00:15:00Z,low,1,0
scen_000021,inc_scen_000021_01,2026-09-01T00:05:00Z,2026-09-01T00:05:44Z,2026-09-01T00:20:00Z,critical,2,1
scen_000022,inc_scen_000022_01,2026-09-01T00:05:00Z,2026-09-01T00:06:13Z,2026-09-01T00:20:00Z,low,47,3
scen_000023,inc_scen_000023_01,2026-09-01T00:05:00Z,2026-09-01T00:06:33Z,2026-09-01T00:17:00Z,critical,2,1
scen_000024,inc_scen_000024_01,2026-09-01T00:05:00Z,2026-09-01T00:06:55Z,2026-09-01T00:16:00Z,high,2,1
scen_000025,inc_scen_000025_01,2026-09-01T00:05:00Z,2026-09-01T00:06:45Z,2026-09-01T00:21:00Z,low,2,1
scen_000026,inc_scen_000026_01,2026-09-01T00:05:00Z,2026-09-01T00:05:36Z,2026-09-01T00:15:00Z,medium,2,1
scen_000027,inc_scen_000027_01,2026-09-01T00:05:00Z,2026-09-01T00:06:49Z,2026-09-01T00:21:00Z,medium,4,1
scen_000028,inc_scen_000028_01,2026-09-01T00:05:00Z,2026-09-01T00:05:47Z,2026-09-01T00:16:00Z,low,2,1
scen_000028,inc_scen_000028_02,2026-09-01T00:08:44Z,2026-09-01T00:09:07Z,2026-09-01T00:23:44Z,high,2,1
scen_000029,inc_scen_000029_01,2026-09-01T00:05:00Z,2026-09-01T00:05:32Z,2026-09-01T00:23:00Z,critical,21,5
scen_000029,inc_scen_000029_02,2026-09-01T00:06:00Z,2026-09-01T00:07:13Z,2026-09-01T00:17:00Z,critical,1,0
scen_000030,inc_scen_000030_01,2026-09-01T00:05:00Z,2026-09-01T00:06:22Z,2026-09-01T00:21:00Z,low,2,1
scen_000030,inc_scen_000030_02,2026-09-01T00:09:34Z,2026-09-01T00:10:24Z,2026-09-01T00:26:34Z,low,2,1
scen_000031,inc_scen_000031_01,2026-09-01T00:05:00Z,2026-09-01T00:06:51Z,2026-09-01T00:21:00Z,medium,2,1
scen_000032,inc_scen_000032_01,2026-09-01T00:05:00Z,2026-09-01T00:06:52Z,2026-09-01T00:22:00Z,medium,13,5
scen_000033,inc_scen_000033_01,2026-09-01T00:05:00Z,2026-09-01T00:05:54Z,2026-09-01T00:25:00Z,medium,15,5
scen_000034,inc_scen_000034_01,2026-09-01T00:05:00Z,2026-09-01T00:06:23Z,2026-09-01T00:17:00Z,high,2,1
scen_000035,inc_scen_000035_01,2026-09-01T00:05:00Z,2026-09-01T00:05:57Z,2026-09-01T00:16:00Z,medium,1,0
scen_000037,inc_scen_000037_01,2026-09-01T00:05:00Z,2026-09-01T00:05:16Z,2026-09-01T00:20:00Z,high,2,1
scen_000038,inc_scen_000038_01,2026-09-01T00:05:00Z,2026-09-01T00:06:51Z,2026-09-01T00:21:00Z,medium,22,5
scen_000039,inc_scen_000039_01,2026-09-01T00:05:00Z,2026-09-01T00:06:05Z,2026-09-01T00:23:00Z,critical,1,0
scen_000039,inc_scen_000039_02,2026-09-01T00:08:00Z,2026-09-01T00:08:37Z,2026-09-01T00:26:00Z,high,2,1
scen_000040,inc_scen_000040_01,2026-09-01T00:05:00Z,2026-09-01T00:06:05Z,2026-09-01T00:25:00Z,high,2,1
scen_000040,inc_scen_000040_02,2026-09-01T00:06:19Z,2026-09-01T00:07:07Z,2026-09-01T00:19:19Z,low,2,1
scen_000041,inc_scen_000041_01,2026-09-01T00:05:00Z,2026-09-01T00:06:54Z,2026-09-01T00:24:00Z,low,24,5
scen_000042,inc_scen_000042_01,2026-09-01T00:05:00Z,2026-09-01T00:05:16Z,2026-09-01T00:17:00Z,high,2,1
scen_000043,inc_scen_000043_01,2026-09-01T00:05:00Z,2026-09-01T00:05:52Z,2026-09-01T00:15:00Z,critical,2,1
scen_000044,inc_scen_000044_01,2026-09-01T00:05:00Z,2026-09-01T00:06:30Z,2026-09-01T00:17:00Z,critical,7,3
scen_000046,inc_scen_000046_01,2026-09-01T00:05:00Z,2026-09-01T00:06:55Z,2026-09-01T00:21:00Z,high,2,1
scen_000047,inc_scen_000047_01,2026-09-01T00:05:00Z,2026-09-01T00:06:29Z,2026-09-01T00:15:00Z,critical,2,1
scen_000049,inc_scen_000049_01,2026-09-01T00:05:00Z,2026-09-01T00:05:39Z,2026-09-01T00:20:00Z,low,2,1
