scenario_id,incident_id,source_node_id,target_node_id,parent_failure_node,propagation_level,propagation_delay_seconds,source_failure_time,target_failure_time,dependency_type,is_propagated
scen_000000,inc_scen_000000_01,lb_01,gw_01,lb_01,1,19.54,2026-09-01T00:05:00+00:00,2026-09-01T00:05:19.535856+00:00,HTTP,True
scen_000000,inc_scen_000000_01,gw_01,auth_01,gw_01,2,19.23,2026-09-01T00:05:19.535856+00:00,2026-09-01T00:05:38.762698+00:00,HTTP,True
scen_000000,inc_scen_000000_01,gw_01,web_01,gw_01,2,19.45,2026-09-01T00:05:19.535856+00:00,2026-09-01T00:05:38.983761+00:00,HTTP,True
scen_000000,inc_scen_000000_01,auth_01,db_01,auth_01,3,5.91,2026-09-01T00:05:38.762698+00:00,2026-09-01T00:05:44.676537+00:00,DATABASE,True
scen_000000,inc_scen_000000_01,web_01,sub_svc_2,web_01,3,3.08,2026-09-01T00:05:38.983761+00:00,2026-09-01T00:05:42.063117+00:00,HTTP,True
scen_000000,inc_scen_000000_01,web_01,sub_svc_3,web_01,3,14.77,2026-09-01T00:05:38.983761+00:00,2026-09-01T00:05:53.750086+00:00,HTTP,True
scen_000000,inc_scen_000000_01,web_01,sub_svc_4,web_01,3,14.52,2026-09-01T00:05:38.983761+00:00,2026-09-01T00:05:53.507353+00:00,HTTP,True
scen_000000,inc_scen_000000_02,sub_svc_4,db_01,sub_svc_4,1,22.6,2026-09-01T00:09:56+00:00,2026-09-01T00:10:18.596624+00:00,DATABASE,True
scen_000000,inc_scen_000000_02,gw_01,auth_01,gw_01,0,0.0,2026-09-01T00:09:56+00:00,2026-09-01T00:09:56+00:00,HTTP,False
scen_000000,inc_scen_000000_02,gw_01,web_01,gw_01,0,0.0,2026-09-01T00:09:56+00:00,2026-09-01T00:09:56+00:00,HTTP,False
scen_000000,inc_scen_000000_02,lb_01,gw_01,lb_01,0,0.0,2026-09-01T00:09:56+00:00,2026-09-01T00:09:56+00:00,HTTP,False
scen_000000,inc_scen_000000_02,auth_01,db_01,auth_01,0,0.0,2026-09-01T00:09:56+00:00,2026-09-01T00:09:56+00:00,DATABASE,False
scen_000000,inc_scen_000000_02,web_01,db_01,web_01,0,0.0,2026-09-01T00:09:56+00:00,2026-09-01T00:09:56+00:00,DATABASE,False
scen_000000,inc_scen_000000_02,web_01,sub_svc_2,web_01,0,0.0,2026-09-01T00:09:56+00:00,2026-09-01T00:09:56+00:00,HTTP,False
scen_000000,inc_scen_000000_02,web_01,sub_svc_3,web_01,0,0.0,2026-09-01T00:09:56+00:00,2026-09-01T00:09:56+00:00,HTTP,False
scen_000000,inc_scen_000000_02,web_01,sub_svc_4,web_01,0,0.0,2026-09-01T00:09:56+00:00,2026-09-01T00:09:56+00:00,HTTP,False
scen_000000,inc_scen_000000_02,sub_svc_2,db_01,sub_svc_2,0,0.0,2026-09-01T00:09:56+00:00,2026-09-01T00:09:56+00:00,DATABASE,False
scen_000000,inc_scen_000000_02,sub_svc_3,db_01,sub_svc_3,0,0.0,2026-09-01T00:09:56+00:00,2026-09-01T00:09:56+00:00,DATABASE,False
scen_000001,inc_scen_000001_01,sub_svc_17,db_01,sub_svc_17,1,8.79,2026-09-01T00:05:00+00:00,2026-09-01T00:05:08.788076+00:00,DATABASE,True
scen_000001,inc_scen_000001_01,gw_01,auth_01,gw_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,gw_01,web_01,gw_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,lb_01,gw_01,lb_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,auth_01,db_01,auth_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,DATABASE,False
scen_000001,inc_scen_000001_01,web_01,db_01,web_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,DATABASE,False
scen_000001,inc_scen_000001_01,web_01,sub_svc_2,web_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,web_01,sub_svc_3,web_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,web_01,sub_svc_4,web_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,web_01,sub_svc_5,web_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,web_01,sub_svc_6,web_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,web_01,sub_svc_7,web_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,web_01,sub_svc_8,web_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,web_01,sub_svc_9,web_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,web_01,sub_svc_10,web_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,web_01,sub_svc_11,web_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,web_01,sub_svc_12,web_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,web_01,sub_svc_13,web_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,web_01,sub_svc_14,web_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,web_01,sub_svc_15,web_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,web_01,sub_svc_16,web_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,web_01,sub_svc_17,web_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,web_01,sub_svc_18,web_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,web_01,sub_svc_19,web_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,web_01,sub_svc_20,web_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,web_01,sub_svc_21,web_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,web_01,sub_svc_22,web_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,web_01,sub_svc_23,web_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,web_01,sub_svc_24,web_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,web_01,sub_svc_25,web_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,web_01,sub_svc_26,web_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,web_01,sub_svc_27,web_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,web_01,sub_svc_28,web_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,web_01,sub_svc_29,web_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,web_01,sub_svc_30,web_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,web_01,sub_svc_31,web_01,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,HTTP,False
scen_000001,inc_scen_000001_01,sub_svc_2,db_01,sub_svc_2,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,DATABASE,False
scen_000001,inc_scen_000001_01,sub_svc_3,db_01,sub_svc_3,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,DATABASE,False
scen_000001,inc_scen_000001_01,sub_svc_4,db_01,sub_svc_4,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,DATABASE,False
scen_000001,inc_scen_000001_01,sub_svc_5,db_01,sub_svc_5,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,DATABASE,False
scen_000001,inc_scen_000001_01,sub_svc_6,db_01,sub_svc_6,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,DATABASE,False
scen_000001,inc_scen_000001_01,sub_svc_7,db_01,sub_svc_7,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,DATABASE,False
scen_000001,inc_scen_000001_01,sub_svc_8,db_01,sub_svc_8,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,DATABASE,False
scen_000001,inc_scen_000001_01,sub_svc_9,db_01,sub_svc_9,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,DATABASE,False
scen_000001,inc_scen_000001_01,sub_svc_10,db_01,sub_svc_10,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,DATABASE,False
scen_000001,inc_scen_000001_01,sub_svc_11,db_01,sub_svc_11,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,DATABASE,False
scen_000001,inc_scen_000001_01,sub_svc_12,db_01,sub_svc_12,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,DATABASE,False
scen_000001,inc_scen_000001_01,sub_svc_13,db_01,sub_svc_13,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,DATABASE,False
scen_000001,inc_scen_000001_01,sub_svc_14,db_01,sub_svc_14,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,DATABASE,False
scen_000001,inc_scen_000001_01,sub_svc_15,db_01,sub_svc_15,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,DATABASE,False
scen_000001,inc_scen_000001_01,sub_svc_16,db_01,sub_svc_16,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,DATABASE,False
scen_000001,inc_scen_000001_01,sub_svc_18,db_01,sub_svc_18,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,DATABASE,False
scen_000001,inc_scen_000001_01,sub_svc_19,db_01,sub_svc_19,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,DATABASE,False
scen_000001,inc_scen_000001_01,sub_svc_20,db_01,sub_svc_20,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,DATABASE,False
scen_000001,inc_scen_000001_01,sub_svc_21,db_01,sub_svc_21,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,DATABASE,False
scen_000001,inc_scen_000001_01,sub_svc_22,db_01,sub_svc_22,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,DATABASE,False
scen_000001,inc_scen_000001_01,sub_svc_23,db_01,sub_svc_23,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,DATABASE,False
scen_000001,inc_scen_000001_01,sub_svc_24,db_01,sub_svc_24,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,DATABASE,False
scen_000001,inc_scen_000001_01,sub_svc_25,db_01,sub_svc_25,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,DATABASE,False
scen_000001,inc_scen_000001_01,sub_svc_26,db_01,sub_svc_26,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,DATABASE,False
scen_000001,inc_scen_000001_01,sub_svc_27,db_01,sub_svc_27,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,DATABASE,False
scen_000001,inc_scen_000001_01,sub_svc_28,db_01,sub_svc_28,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,DATABASE,False
scen_000001,inc_scen_000001_01,sub_svc_29,db_01,sub_svc_29,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,DATABASE,False
scen_000001,inc_scen_000001_01,sub_svc_30,db_01,sub_svc_30,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,DATABASE,False
scen_000001,inc_scen_000001_01,sub_svc_31,db_01,sub_svc_31,0,0.0,2026-09-01T00:05:00+00:00,2026-09-01T00:05:00+00:00,DATABASE,False
scen_000002,inc_scen_000002_01,node_31,node_17,node_31,1,10.47,2026-09-01T00:05:00+00:00,2026-09-01T00:05:10.467157+00:00,MESSAGE_QUEUE,True
scen_000002,inc_scen_000002_01,node_17,node_29,node_17,2,7.58,2026-09-01T00:05:10.467157+00:00,2026-09-01T00:05:18.043668+00:00,HTTP,True
scen_000002,inc_scen_000002_01,node_29,node_03,node_29,3,8.96,2026-09-01T00:05:18.043668+00:00,2026-09-01T00:05:27.003167+00:00,TCP,True
scen_000002,inc_scen_000002_01,node_29,node_24,node_29,3,20.79,2026-09-01T00:05:18.043668+00:00,2026-09-01T00:05:38.833242+00:00,DNS,True
scen_000002,inc_scen_000002_01,node_03,node_09,node_03,4,10.36,2026-09-01T00:05:27.003167+00:00,2026-09-01T00:05:37.368064+00:00,CACHE,True
scen_000002,inc_scen_000002_01,node_24,node_05,node_24,4,3.04,2026-09-01T00:05:38.833242+00:00,2026-09-01T00:05:41.868682+00:00,MESSAGE_QUEUE,True
scen_000002,inc_scen_000002_01,node_09,node_12,node_09,5,5.51,2026-09-01T00:05:37.368064+00:00,2026-09-01T00:05:42.873978+00:00,TCP,True
