scenario_id,incident_id,candidate_node_id,candidate_service,candidate_root_cause_type,temporal_score,severity_score,topology_score,metric_anomaly_score,log_evidence_score,trace_evidence_score,upstream_score,is_root_cause
scen_000000,inc_scen_000000_01,gw_01,api_gateway,slow_query,0.24,0.42,0.58,0.51,0.22,0.1,0.05,0
scen_000000,inc_scen_000000_01,lb_01,load_balancer,load_balancer_failure,0.81,0.83,0.89,0.93,0.88,0.96,0.92,1
scen_000000,inc_scen_000000_01,auth_01,auth_service,cpu_saturation,0.43,0.55,0.29,0.25,0.59,0.61,0.2,0
scen_000000,inc_scen_000000_01,web_01,web_service,slow_query,0.43,0.28,0.38,0.35,0.62,0.5,0.24,0
scen_000000,inc_scen_000000_01,db_01,postgresql,network_latency,0.66,0.82,0.51,0.45,0.28,0.6,0.42,0
scen_000000,inc_scen_000000_01,sub_svc_2,sub_service_2,cpu_saturation,0.83,0.47,0.43,0.31,0.11,0.29,0.06,0
scen_000000,inc_scen_000000_01,sub_svc_3,sub_service_3,slow_query,0.48,0.4,0.44,0.53,0.16,0.61,0.13,0
scen_000000,inc_scen_000000_01,sub_svc_4,sub_service_4,slow_query,0.1,0.88,0.11,0.34,0.46,0.38,0.22,0
scen_000000,inc_scen_000000_02,gw_01,api_gateway,slow_query,0.64,0.58,0.36,0.72,0.12,0.45,0.16,0
scen_000000,inc_scen_000000_02,lb_01,load_balancer,cpu_saturation,0.13,0.88,0.47,0.25,0.31,0.27,0.36,0
scen_000000,inc_scen_000000_02,auth_01,auth_service,network_latency,0.36,0.84,0.2,0.34,0.66,0.76,0.18,0
scen_000000,inc_scen_000000_02,web_01,web_service,cpu_saturation,0.46,0.81,0.44,0.55,0.48,0.79,0.28,0
scen_000000,inc_scen_000000_02,db_01,postgresql,slow_query,0.24,0.48,0.46,0.44,0.25,0.6,0.25,0
scen_000000,inc_scen_000000_02,sub_svc_2,sub_service_2,network_latency,0.82,0.38,0.46,0.49,0.1,0.45,0.06,0
scen_000000,inc_scen_000000_02,sub_svc_3,sub_service_3,network_latency,0.69,0.69,0.13,0.45,0.68,0.31,0.46,0
scen_000000,inc_scen_000000_02,sub_svc_4,sub_service_4,container_restart_loop,0.78,0.7,0.9,0.76,0.91,0.91,0.95,1
scen_000001,inc_scen_000001_01,gw_01,api_gateway,network_latency,0.7,0.69,0.27,0.25,0.32,0.17,0.06,0
scen_000001,inc_scen_000001_01,lb_01,load_balancer,cpu_saturation,0.49,0.59,0.28,0.76,0.59,0.57,0.49,0
scen_000001,inc_scen_000001_01,auth_01,auth_service,slow_query,0.73,0.57,0.15,0.72,0.69,0.19,0.26,0
