scenario_id,alert_id,timestamp,alert_type,source_node,service_name,severity,metric,observed_value,threshold,alert_message
scen_000000,alt_scen_000000_00001,2026-09-01T00:10:20Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,72.31,10.0,Error rate threshold exceeded
scen_000000,alt_scen_000000_00003,2026-09-01T00:10:39.795814Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,67.04,10.0,DUPLICATE: Error rate threshold exceeded
scen_000000,alt_scen_000000_00002,2026-09-01T00:10:40Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,67.04,10.0,Error rate threshold exceeded
scen_000000,alt_scen_000000_00004,2026-09-01T00:11:10Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,68.87,10.0,Error rate threshold exceeded
scen_000000,alt_scen_000000_00005,2026-09-01T00:12:30Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,41.59,10.0,Error rate threshold exceeded
scen_000000,alt_scen_000000_00006,2026-09-01T00:12:50Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,52.67,10.0,Error rate threshold exceeded
scen_000000,alt_scen_000000_00007,2026-09-01T00:13:10Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,34.84,10.0,Error rate threshold exceeded
scen_000000,alt_scen_000000_00008,2026-09-01T00:13:20Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,31.46,10.0,Error rate threshold exceeded
scen_000000,alt_scen_000000_00009,2026-09-01T00:16:00Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,37.62,10.0,Error rate threshold exceeded
scen_000000,alt_scen_000000_00036,2026-09-01T00:16:09Z,TransientSpikeWarning,web_01,web_service,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000000,alt_scen_000000_00010,2026-09-01T00:16:10Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,75.07,10.0,Error rate threshold exceeded
scen_000000,alt_scen_000000_00011,2026-09-01T00:16:20Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,51.19,10.0,Error rate threshold exceeded
scen_000000,alt_scen_000000_00012,2026-09-01T00:16:30Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,61.84,10.0,Error rate threshold exceeded
scen_000000,alt_scen_000000_00037,2026-09-01T00:16:35Z,TransientSpikeWarning,web_01,web_service,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000000,alt_scen_000000_00013,2026-09-01T00:17:20Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,72.35,10.0,Error rate threshold exceeded
scen_000000,alt_scen_000000_00014,2026-09-01T00:19:10Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,75.14,10.0,Error rate threshold exceeded
scen_000000,alt_scen_000000_00015,2026-09-01T00:19:30Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,55.91,10.0,Error rate threshold exceeded
scen_000000,alt_scen_000000_00016,2026-09-01T00:19:40Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,56.4,10.0,Error rate threshold exceeded
scen_000000,alt_scen_000000_00018,2026-09-01T00:19:59.745669Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,37.92,10.0,DUPLICATE: Error rate threshold exceeded
scen_000000,alt_scen_000000_00017,2026-09-01T00:20:00Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,37.92,10.0,Error rate threshold exceeded
scen_000000,alt_scen_000000_00019,2026-09-01T00:20:10Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,77.92,10.0,Error rate threshold exceeded
scen_000000,alt_scen_000000_00020,2026-09-01T00:21:20Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,49.98,10.0,Error rate threshold exceeded
scen_000000,alt_scen_000000_00021,2026-09-01T00:21:50Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,50.15,10.0,Error rate threshold exceeded
scen_000000,alt_scen_000000_00022,2026-09-01T00:22:20Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,69.71,10.0,Error rate threshold exceeded
scen_000000,alt_scen_000000_00023,2026-09-01T00:22:30Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,66.34,10.0,Error rate threshold exceeded
scen_000000,alt_scen_000000_00024,2026-09-01T00:22:50Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,68.93,10.0,Error rate threshold exceeded
scen_000000,alt_scen_000000_00025,2026-09-01T00:23:00Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,49.93,10.0,Error rate threshold exceeded
scen_000000,alt_scen_000000_00026,2026-09-01T00:23:30Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,55.37,10.0,Error rate threshold exceeded
scen_000000,alt_scen_000000_00027,2026-09-01T00:25:00Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,68.83,10.0,Error rate threshold exceeded
scen_000000,alt_scen_000000_00028,2026-09-01T00:25:50Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,55.81,10.0,Error rate threshold exceeded
scen_000000,alt_scen_000000_00030,2026-09-01T00:26:26.055085Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,33.87,10.0,DUPLICATE: Error rate threshold exceeded
scen_000000,alt_scen_000000_00029,2026-09-01T00:26:30Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,33.87,10.0,Error rate threshold exceeded
scen_000000,alt_scen_000000_00031,2026-09-01T00:27:00Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,73.8,10.0,Error rate threshold exceeded
scen_000000,alt_scen_000000_00032,2026-09-01T00:29:00Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,32.13,10.0,Error rate threshold exceeded
scen_000000,alt_scen_000000_00034,2026-09-01T00:29:09.144180Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,43.75,10.0,DUPLICATE: Error rate threshold exceeded
scen_000000,alt_scen_000000_00033,2026-09-01T00:29:10Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,43.75,10.0,Error rate threshold exceeded
scen_000000,alt_scen_000000_00035,2026-09-01T00:29:20Z,ErrorRateElevated,sub_svc_4,sub_service_4,critical,error_rate_percent,52.38,10.0,Error rate threshold exceeded
scen_000003,alt_scen_000003_00001,2026-09-01T00:01:20Z,TransientSpikeWarning,node_10,mesh_svc_10,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000003,alt_scen_000003_00004,2026-09-01T00:01:41Z,TransientSpikeWarning,node_17,mesh_svc_17,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000003,alt_scen_000003_00003,2026-09-01T00:10:57Z,TransientSpikeWarning,node_12,mesh_svc_12,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000003,alt_scen_000003_00002,2026-09-01T00:14:54Z,TransientSpikeWarning,node_14,mesh_svc_14,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000004,alt_scen_000004_00001,2026-09-01T00:00:58Z,TransientSpikeWarning,gw_01,api_gateway,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000004,alt_scen_000004_00003,2026-09-01T00:01:21Z,TransientSpikeWarning,es_01,elasticsearch,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000004,alt_scen_000004_00004,2026-09-01T00:03:55Z,TransientSpikeWarning,search_node_19,search_aux_19,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000004,alt_scen_000004_00002,2026-09-01T00:05:32Z,TransientSpikeWarning,mongo_01,mongodb,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000014,alt_scen_000014_00003,2026-09-01T00:00:31Z,TransientSpikeWarning,user_01,user_service,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000014,alt_scen_000014_00004,2026-09-01T00:02:05Z,TransientSpikeWarning,user_01,user_service,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000014,alt_scen_000014_00001,2026-09-01T00:02:44Z,TransientSpikeWarning,consumer_7,kafka_consumer_7,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000014,alt_scen_000014_00002,2026-09-01T00:04:44Z,TransientSpikeWarning,consumer_4,kafka_consumer_4,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000015,alt_scen_000015_00003,2026-09-01T00:05:32Z,TransientSpikeWarning,sub_svc_14,sub_service_14,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000015,alt_scen_000015_00002,2026-09-01T00:05:46Z,TransientSpikeWarning,gw_01,api_gateway,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000015,alt_scen_000015_00005,2026-09-01T00:06:04Z,TransientSpikeWarning,sub_svc_17,sub_service_17,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000015,alt_scen_000015_00004,2026-09-01T00:08:36Z,TransientSpikeWarning,sub_svc_5,sub_service_5,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000015,alt_scen_000015_00001,2026-09-01T00:15:27Z,TransientSpikeWarning,sub_svc_17,sub_service_17,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000017,alt_scen_000017_00002,2026-09-01T00:05:22Z,TransientSpikeWarning,gw_01,api_gateway,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000017,alt_scen_000017_00001,2026-09-01T00:16:15Z,TransientSpikeWarning,auth_01,auth_service,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000019,alt_scen_000019_00001,2026-09-01T00:03:38Z,TransientSpikeWarning,node_15,mesh_svc_15,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000019,alt_scen_000019_00003,2026-09-01T00:05:01Z,TransientSpikeWarning,node_13,mesh_svc_13,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000019,alt_scen_000019_00002,2026-09-01T00:13:09Z,TransientSpikeWarning,node_10,mesh_svc_10,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000023,alt_scen_000023_00003,2026-09-01T00:00:31Z,TransientSpikeWarning,gw_01,api_gateway,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000023,alt_scen_000023_00004,2026-09-01T00:06:21Z,TransientSpikeWarning,sub_svc_9,sub_service_9,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000023,alt_scen_000023_00002,2026-09-01T00:11:49Z,TransientSpikeWarning,sub_svc_16,sub_service_16,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000023,alt_scen_000023_00001,2026-09-01T00:13:40Z,TransientSpikeWarning,auth_01,auth_service,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000027,alt_scen_000027_00001,2026-09-01T00:04:14Z,TransientSpikeWarning,es_01,elasticsearch,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000027,alt_scen_000027_00006,2026-09-01T00:05:48Z,TransientSpikeWarning,search_node_13,search_aux_13,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000027,alt_scen_000027_00002,2026-09-01T00:08:21Z,TransientSpikeWarning,search_node_10,search_aux_10,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000027,alt_scen_000027_00004,2026-09-01T00:10:39Z,TransientSpikeWarning,search_node_14,search_aux_14,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000027,alt_scen_000027_00003,2026-09-01T00:11:17Z,TransientSpikeWarning,search_node_14,search_aux_14,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000027,alt_scen_000027_00005,2026-09-01T00:11:57Z,TransientSpikeWarning,search_node_2,search_aux_2,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000030,alt_scen_000030_00068,2026-09-01T00:02:14Z,TransientSpikeWarning,consumer_2,kafka_consumer_2,warning,cpu_usage_percent,78.5,75.0,Transient CPU spike detected on idle node
scen_000030,alt_scen_000030_00001,2026-09-01T00:05:00Z,ErrorRateElevated,consumer_1,kafka_consumer_1,critical,error_rate_percent,33.37,10.0,Error rate threshold exceeded
