source,target,dependency_type,latency,criticality,scenario_id,topology_id
gw_01,auth_01,HTTP,12.0,high,scen_000000,top_0000
gw_01,web_01,HTTP,15.0,high,scen_000000,top_0000
lb_01,gw_01,HTTP,5.0,critical,scen_000000,top_0000
auth_01,db_01,DATABASE,8.0,critical,scen_000000,top_0000
web_01,db_01,DATABASE,10.0,critical,scen_000000,top_0000
web_01,sub_svc_2,HTTP,10.0,low,scen_000000,top_0000
web_01,sub_svc_3,HTTP,10.0,low,scen_000000,top_0000
web_01,sub_svc_4,HTTP,10.0,low,scen_000000,top_0000
sub_svc_2,db_01,DATABASE,12.0,medium,scen_000000,top_0000
sub_svc_3,db_01,DATABASE,12.0,medium,scen_000000,top_0000
sub_svc_4,db_01,DATABASE,12.0,medium,scen_000000,top_0000
node_00,node_01,STORAGE,12.139725194103995,medium,scen_000003,top_0003
node_00,node_05,DATABASE,6.76178779003702,medium,scen_000003,top_0003
node_01,node_02,HTTP,22.276699520172475,medium,scen_000003,top_0003
node_01,node_08,CACHE,22.70808449915594,medium,scen_000003,top_0003
node_01,node_13,TCP,10.0,low,scen_000003,top_0003
node_02,node_03,MESSAGE_QUEUE,21.05318975927444,medium,scen_000003,top_0003
node_02,node_07,CACHE,9.20722093231359,medium,scen_000003,top_0003
node_02,node_24,STORAGE,15.664705665234957,medium,scen_000003,top_0003
node_02,node_09,HTTP,10.0,low,scen_000003,top_0003
node_02,node_10,MESSAGE_QUEUE,10.0,low,scen_000003,top_0003
node_02,node_19,DNS,10.0,low,scen_000003,top_0003
node_03,node_04,MESSAGE_QUEUE,16.31329944741585,medium,scen_000003,top_0003
node_03,node_06,TCP,32.73223516354454,medium,scen_000003,top_0003
node_03,node_23,STORAGE,28.53386530023879,medium,scen_000003,top_0003
node_03,node_20,MESSAGE_QUEUE,10.0,low,scen_000003,top_0003
node_04,node_00,DATABASE,10.0,low,scen_000003,top_0003
node_05,node_09,CACHE,9.926915597099972,medium,scen_000003,top_0003
node_05,node_10,STORAGE,5.169838666218883,medium,scen_000003,top_0003
node_05,node_25,DATABASE,18.14319063087552,medium,scen_000003,top_0003
node_06,node_18,TCP,10.621971935637884,medium,scen_000003,top_0003
node_06,node_23,MESSAGE_QUEUE,10.0,low,scen_000003,top_0003
node_07,node_11,TCP,4.923097632942083,medium,scen_000003,top_0003
node_07,node_02,MESSAGE_QUEUE,10.0,low,scen_000003,top_0003
node_08,node_13,STORAGE,20.06344746742045,medium,scen_000003,top_0003
node_10,node_12,DNS,25.66411341778113,medium,scen_000003,top_0003
node_10,node_17,MESSAGE_QUEUE,10.290869503775612,medium,scen_000003,top_0003
node_11,node_15,MESSAGE_QUEUE,31.37114472128521,medium,scen_000003,top_0003
node_11,node_19,STORAGE,20.671713187052468,medium,scen_000003,top_0003
node_11,node_03,DNS,10.0,low,scen_000003,top_0003
node_12,node_20,CACHE,12.619536370261972,medium,scen_000003,top_0003
node_13,node_14,CACHE,31.185428168362964,medium,scen_000003,top_0003
node_13,node_15,CACHE,10.0,low,scen_000003,top_0003
node_14,node_16,CACHE,25.904919620031794,medium,scen_000003,top_0003
node_15,node_21,CACHE,12.879266187400733,medium,scen_000003,top_0003
node_15,node_22,MESSAGE_QUEUE,23.96959741446319,medium,scen_000003,top_0003
node_16,node_13,TCP,10.0,low,scen_000003,top_0003
node_17,node_19,MESSAGE_QUEUE,10.0,low,scen_000003,top_0003
node_17,node_00,TCP,10.0,low,scen_000003,top_0003
node_18,node_15,TCP,10.0,low,scen_000003,top_0003
node_19,node_26,CACHE,26.000379703441432,medium,scen_000003,top_0003
