scenario_id,trace_id,span_id,parent_span_id,service_name,operation,start_time,duration_ms,status,error,dependency
scen_000000,tr_scen_000000_00032,sp_scen_000000_00032_001,,load_balancer,POST /load_balancer/v1/handle,2026-09-01T00:00:15.464284Z,20.81,OK,,lb_01
scen_000000,tr_scen_000000_00032,sp_scen_000000_00032_002,sp_scen_000000_00032_001,api_gateway,POST /api_gateway/v1/handle,2026-09-01T00:00:15.465581Z,18.22,OK,,gw_01
scen_000000,tr_scen_000000_00032,sp_scen_000000_00032_003,sp_scen_000000_00032_002,auth_service,POST /auth_service/v1/handle,2026-09-01T00:00:15.466583Z,16.22,OK,,auth_01
scen_000000,tr_scen_000000_00032,sp_scen_000000_00032_004,sp_scen_000000_00032_003,postgresql,POST /postgresql/v1/handle,2026-09-01T00:00:15.471205Z,6.97,OK,,db_01
scen_000000,tr_scen_000000_00022,sp_scen_000000_00022_001,,load_balancer,POST /load_balancer/v1/handle,2026-09-01T00:00:46.340291Z,50.41,OK,,lb_01
scen_000000,tr_scen_000000_00022,sp_scen_000000_00022_002,sp_scen_000000_00022_001,api_gateway,POST /api_gateway/v1/handle,2026-09-01T00:00:46.342198Z,46.6,OK,,gw_01
scen_000000,tr_scen_000000_00022,sp_scen_000000_00022_003,sp_scen_000000_00022_002,web_service,POST /web_service/v1/handle,2026-09-01T00:00:46.345119Z,31.42,OK,,web_01
scen_000000,tr_scen_000000_00022,sp_scen_000000_00022_004,sp_scen_000000_00022_003,postgresql,POST /postgresql/v1/handle,2026-09-01T00:00:46.347719Z,9.77,OK,,db_01
scen_000000,tr_scen_000000_00022,sp_scen_000000_00022_005,sp_scen_000000_00022_003,sub_service_4,POST /sub_service_4/v1/handle,2026-09-01T00:00:46.357491Z,10.96,OK,,sub_svc_4
scen_000000,tr_scen_000000_00022,sp_scen_000000_00022_006,sp_scen_000000_00022_005,postgresql,POST /postgresql/v1/handle,2026-09-01T00:00:46.361660Z,2.63,OK,,db_01
scen_000000,tr_scen_000000_00022,sp_scen_000000_00022_007,sp_scen_000000_00022_003,sub_service_3,POST /sub_service_3/v1/handle,2026-09-01T00:00:46.368454Z,5.48,OK,,sub_svc_3
scen_000000,tr_scen_000000_00022,sp_scen_000000_00022_008,sp_scen_000000_00022_007,postgresql,POST /postgresql/v1/handle,2026-09-01T00:00:46.370090Z,2.21,OK,,db_01
scen_000000,tr_scen_000000_00022,sp_scen_000000_00022_009,sp_scen_000000_00022_002,auth_service,POST /auth_service/v1/handle,2026-09-01T00:00:46.376538Z,9.34,OK,,auth_01
scen_000000,tr_scen_000000_00022,sp_scen_000000_00022_010,sp_scen_000000_00022_009,postgresql,POST /postgresql/v1/handle,2026-09-01T00:00:46.378091Z,6.24,OK,,db_01
scen_000000,tr_scen_000000_00036,sp_scen_000000_00036_001,,api_gateway,POST /api_gateway/v1/handle,2026-09-01T00:01:20.211140Z,55.74,OK,,gw_01
scen_000000,tr_scen_000000_00036,sp_scen_000000_00036_002,sp_scen_000000_00036_001,web_service,POST /web_service/v1/handle,2026-09-01T00:01:20.212306Z,39.31,OK,,web_01
scen_000000,tr_scen_000000_00036,sp_scen_000000_00036_003,sp_scen_000000_00036_002,sub_service_3,POST /sub_service_3/v1/handle,2026-09-01T00:01:20.214457Z,7.63,OK,,sub_svc_3
scen_000000,tr_scen_000000_00036,sp_scen_000000_00036_004,sp_scen_000000_00036_003,postgresql,POST /postgresql/v1/handle,2026-09-01T00:01:20.216565Z,3.42,OK,,db_01
scen_000000,tr_scen_000000_00036,sp_scen_000000_00036_005,sp_scen_000000_00036_002,sub_service_4,POST /sub_service_4/v1/handle,2026-09-01T00:01:20.222089Z,9.92,OK,,sub_svc_4
scen_000000,tr_scen_000000_00036,sp_scen_000000_00036_006,sp_scen_000000_00036_005,postgresql,POST /postgresql/v1/handle,2026-09-01T00:01:20.225956Z,2.19,OK,,db_01
scen_000000,tr_scen_000000_00036,sp_scen_000000_00036_007,sp_scen_000000_00036_002,sub_service_2,POST /sub_service_2/v1/handle,2026-09-01T00:01:20.232014Z,17.45,OK,,sub_svc_2
scen_000000,tr_scen_000000_00036,sp_scen_000000_00036_008,sp_scen_000000_00036_007,postgresql,POST /postgresql/v1/handle,2026-09-01T00:01:20.236711Z,8.06,OK,,db_01
scen_000000,tr_scen_000000_00036,sp_scen_000000_00036_009,sp_scen_000000_00036_001,auth_service,POST /auth_service/v1/handle,2026-09-01T00:01:20.251619Z,14.1,OK,,auth_01
scen_000000,tr_scen_000000_00036,sp_scen_000000_00036_010,sp_scen_000000_00036_009,postgresql,POST /postgresql/v1/handle,2026-09-01T00:01:20.254231Z,8.87,OK,,db_01
scen_000000,tr_scen_000000_00023,sp_scen_000000_00023_001,,load_balancer,POST /load_balancer/v1/handle,2026-09-01T00:01:47.762305Z,37.75,OK,,lb_01
